## adnan2021comparison
| N° | Texto literal                                                                                                                                                                                                                                                                                                                                                                                                                          | Pág./Sección                                                                                 | Eje          | Tipo                       | Razón                                                                                                                                                              |
| 5  | **"The posterior distribution of the model outputs (e.g., confidence interval) is based on 10,000 Monte Carlo runs for each day."**                                                                                                                                                                                                                                                                               | **p. 8, Methodology** (Ctrl+F: *"The posterior distribution of the model outputs"*)           | **3**       | **[DEFINICIÓN/MÉTODO]**    | Apoya el uso de Monte Carlo para propagación de incertidumbre, muy alineado con tu enfoque estocástico.                            |
| 6  | **"The standard 90% confidence interval (90CI) was derived by ordering the 10,000 outputs on every day in the test period and then identifying the 5% and 95% percentiles (i.e., Q5 and Q95)."**                                                                                                                                                                                                                  | **p. 8, Uncertainty Presentation** (Ctrl+F: *"The standard 90% confidence interval"*)         | **2, 5**    | **[DEFINICIÓN/MÉTODO]**    | Muy útil para justificar el empleo de cuantiles del ensemble como descriptores estadísticos.                                       |
| 7  | **"The total uncertainty in the GR4J outputs is much higher than in the HBV outputs."**                                                                                                                                                                                                                                                                                                                           | **p. 13, Results** (Ctrl+F: *"The total uncertainty in the GR4J outputs"*)                    | **1, 5**    | **[HALLAZGO/NÚMERO]**      | Ejemplo claro de comparación entre modelos conceptuales considerando incertidumbre.                                                |
| 8  | **"The parameter uncertainty is dominating the total uncertainty in the HBV model outputs."**                                                                                                                                                                                                                                                                                                                     | **p. 13, Results** (Ctrl+F: *"The parameter uncertainty is dominating"*)                      | **5, 6**    | **[HALLAZGO/NÚMERO]**      | Evidencia directa de que la incertidumbre paramétrica puede dominar sobre otras fuentes.                                           |
| 9  | **"The parameter uncertainty has the highest effect, and the input uncertainty has the smallest effect on the low flow forecasts."**                                                                                                                                                                                                                                                                              | **p. 16, Conclusions** (Ctrl+F: *"The parameter uncertainty has the highest effect"*)         | **5, 6**    | **[HALLAZGO/NÚMERO]**      | Conclusión sintética muy fuerte para la discusión sobre calibración e incertidumbre.                                               |
| 10 | **"Different types of models, especially data-driven models, may be considered to include in the uncertainty analysis framework for assessing model structure uncertainty explicitly."**                                                                                                                                                                                                                          | **p. 16, Conclusions** (Ctrl+F: *"Different types of models, especially data-driven models"*) | **1, 5**    | **[LIMITACIÓN/CONTRASTE]** | Muy valiosa porque abre explícitamente la puerta a modelos basados en ML dentro del marco de incertidumbre.                        |

##gabellani2007propagation
| N°     | Texto literal                                                                                                                                                                                                                                                                                                  | Pág./Sección (Ctrl+F)                                                                      | Eje         | Tipo                       | Razón                                                                                                                                                  |
| ------ | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------ | ----------- | -------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------ |
| **1**  | **"We explore the impact of uncertainties in the spatial–temporal distribution of rainfall on the prediction of peak discharge in a typical mountain basin."**                                                                                                                                                 | **p.1, Abstract** (Ctrl+F: *We explore the impact*)                                        | **3, 5**    | **[AFIRMACIÓN GENERAL]**   | Excelente frase de apertura para justificar la propagación de incertidumbre desde la lluvia hasta el caudal.                                           |
| **2**  | **"The results of the analysis provide information on the minimum rainfall resolution needed for operational flood forecasting, and confirm the sensitivity of peak discharge estimates to errors in the determination of the power spectrum of the precipitation field."**                                    | **p.1, Abstract** (Ctrl+F: *The results of the analysis*)                                  | **3, 5**    | **[HALLAZGO/NÚMERO]**      | Muy útil para defender que la estructura estadística de la lluvia afecta directamente la incertidumbre hidrológica.                                    |
| **3**  | **"The methodology of this study is based on generating ensembles of spatial–temporal rainfall events by a stochastic downscaling model, and then using the fields as inputs to a semi-distributed rainfall–runoff model."**                                                                                   | **p.2, Methodology** (Ctrl+F: *The methodology of this study*)                             | **2, 3**    | **[DEFINICIÓN/MÉTODO]**    | Respalda metodológicamente el uso de ensembles estocásticos como entrada de modelos hidrológicos, muy alineado con StoHyMoLAP.                         |
| **4**  | **"Compared to a volumetric difference of at most 1%, the spatial and temporal variability of rainfall is responsible for a dispersion of the peak discharge of 20–25%."**                                                                                                                                     | **p.3, Section 3** (Ctrl+F: *Compared to a volumetric difference*)                         | **3, 5**    | **[HALLAZGO/NÚMERO]**      | Una de las cifras más fuertes del artículo; demuestra cuantitativamente cómo pequeñas incertidumbres en lluvia producen grandes diferencias en caudal. |
| **5**  | **"Thus, the main mechanism responsible for the variability of peak discharge in our model is associated with differences in runoff concentration."**                                                                                                                                                          | **p.4, Section 3** (Ctrl+F: *Thus, the main mechanism*)                                    | **1, 6**    | **[HALLAZGO/NÚMERO]**      | Sustenta físicamente por qué dos eventos con igual volumen pueden generar diferentes picos de caudal.                                                  |
| **6**  | **"The results shown in Fig. 6 indicate that a well-defined sensitivity scale of the basin does not exist, at least for the rainfall–runoff model used here."**                                                                                                                                                | **p.5, Section 3.1** (Ctrl+F: *The results shown in Fig. 6*)                               | **3, 5**    | **[LIMITACIÓN/CONTRASTE]** | Muy útil para discutir que no existe una única escala crítica universal de resolución hidrológica.                                                     |
| **7**  | **"These two figures indicate that more correlated events, at equal values of rainfall volume and Fourier phases, lead to larger peak discharges."**                                                                                                                                                           | **p.8, Section 4** (Ctrl+F: *These two figures indicate*)                                  | **2, 3**    | **[HALLAZGO/NÚMERO]**      | Fundamental para justificar que la estructura estadística (correlación) contiene información hidrológica útil más allá del volumen de lluvia.          |
| **8**  | **"This confirms that the spectral slopes of the rain fields play an essential role in determining the hydrological response, and implies that forecasts that underestimate the spatial or temporal autocorrelation of the rain field lead to a potential underestimate of the intensity of peak discharge."** | **p.9, Discussion** (Ctrl+F: *This confirms that the spectral slopes*)                     | **2, 3, 5** | **[HALLAZGO/NÚMERO]**      | Muy alineado con StoHyMoLAP porque respalda el uso de descriptores estadísticos de ensembles físicos como variables predictoras.                       |
| **9**  | **"For rainfall fields with approximately the same cumulated precipitation volume over the basin and the same autocorrelation structure, but with different spatial–temporal distribution of rainfall peaks inside the basin, we observe differences in peak discharge estimates of up to 25%."**              | **p.9, Discussion** (Ctrl+F: *For rainfall fields with approximately*)                     | **3, 5**    | **[HALLAZGO/NÚMERO]**      | Cifra muy sólida para discutir propagación de incertidumbre incluso cuando el volumen total está bien representado.                                    |
| **10** | **"The results indicate that underestimating the autocorrelation of the rainfall field (i.e., predicting a lower value of the spectral slope) leads to a potential underestimate of the strength of peak discharge."**                                                                                         | **p.10, Discussion and conclusions** (Ctrl+F: *The results indicate that underestimating*) | **2, 3, 5** | **[HALLAZGO/NÚMERO]**      | Respalda directamente la necesidad de preservar la estructura estadística del forzamiento hidrológico, una idea muy cercana a tu enfoque estocástico.  |

##hong2006uncertainty
| N°     | Texto literal                                                                                                                                                                                                                                                                                                                                                                                                      | Pág./Sección                     | Eje         | Tipo                       | Razón                                                                                                          |
| ------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | -------------------------------- | ----------- | -------------------------- | -------------------------------------------------------------------------------------------------------------- |
| **1**  | **"The aim of this paper is to foster the development of an end-to-end uncertainty analysis framework that can quantify satellite-based precipitation estimation error characteristics and to assess the influence of the error propagation into hydrological simulation."** *(Ctrl+F: "The aim of this paper")*                                                                                                   | **p.1, Abstract**                | **3, 5, 7** | **[AFIRMACIÓN GENERAL]**   | Frase-ancla del artículo. Justifica un marco integral de cuantificación y propagación de incertidumbre.        |
| **2**  | **"By this approach, 100 ensemble members of precipitation data are generated, as forcing input to a conceptual rainfall-runoff hydrologic model, and the resulting uncertainty in the streamflow prediction is quantified."** *(Ctrl+F: "100 ensemble members")*                                                                                                                                                  | **p.1, Abstract**                | **2, 3, 5** | **[DEFINICIÓN/MÉTODO]**    | Respalda el uso de ensembles Monte Carlo como entrada a modelos hidrológicos.                                  |
| **3**  | **"Compared with conventional procedure, i.e., precipitation estimation error as fixed ratio of rain rates, the proposed framework provides more realistic quantification of precipitation estimation error and offers improved uncertainty assessment of the error propagation into hydrologic simulation."** *(Ctrl+F: "Compared with conventional procedure")*                                                  | **p.1, Abstract**                | **3, 5**    | **[HALLAZGO/NÚMERO]**      | Excelente para justificar que un modelo de incertidumbre dependiente del estado supera enfoques de error fijo. |
| **4**  | **"Further study shows that the radar rainfall-generated streamflow sequences are consistently contained by the uncertainty bound of satellite rainfall generated streamflow at the 95% confidence interval."** *(Ctrl+F: "consistently contained")*                                                                                                                                                               | **p.1, Abstract**                | **5**       | **[HALLAZGO/NÚMERO]**      | Evidencia cuantitativa del desempeño de las bandas de incertidumbre (95%).                                     |
| **5**  | **"The error is expressed as a nonlinear multivariate function of space-time integration scale, rain intensity, and sampling frequency."** *(Ctrl+F: "The error is expressed")*                                                                                                                                                                                                                                    | **p.3, Introduction**            | **3**       | **[DEFINICIÓN/MÉTODO]**    | Muy útil para fundamentar modelos de incertidumbre dependientes de escala e intensidad.                        |
| **6**  | **"The influence of precipitation estimation error on a conceptual rainfall-runoff hydrologic model is examined through Monte Carlo simulation."** *(Ctrl+F: "examined through Monte Carlo")*                                                                                                                                                                                                                      | **p.3, Introduction**            | **3**       | **[DEFINICIÓN/MÉTODO]**    | Respaldo directo al uso de Monte Carlo para propagación de incertidumbre hidrológica.                          |
| **7**  | **"Table 1 and Figure 3 show that the satellite rainfall estimation reference error (%) is a function of spatial and temporal scales where higher spatial and temporal resolution is subject to larger reference error."** *(Ctrl+F: "higher spatial and temporal resolution")*                                                                                                                                    | **p.7, Section 3.2.1**           | **3**       | **[HALLAZGO/NÚMERO]**      | Resultado importante: la incertidumbre depende de la escala espacio-temporal.                                  |
| **8**  | **"The box plots of the 17 sets of parameters show that the parameters derived from different 5° × 5° latitude-longitude grids are mostly consistent, with about 12%–16% of variation for one standard deviation of each parameter with respect to its mean value."** *(Ctrl+F: "12%–16% of variation")*                                                                                                           | **p.13, Summary and Conclusion** | **3**       | **[HALLAZGO/NÚMERO]**      | Dato cuantitativo muy útil para justificar estabilidad paramétrica del modelo de incertidumbre.                |
| **9**  | **"However, for parameters b, c, and d, the range of values is more than 50% of their mean values, which suggests that the error of satellite-derived precipitation estimates is significantly region-dependent."** *(Ctrl+F: "region-dependent")*                                                                                                                                                                 | **p.13, Summary and Conclusion** | **3, 6**    | **[LIMITACIÓN/CONTRASTE]** | Importante para discutir transferencia entre cuencas (Ramis vs otras regiones).                                |
| **10** | **"Compared with the conventional error propagation procedure, i.e., fixed ratio error estimate (Figure 11c), our strategy not only provides more realistic quantification of precipitation estimation error but also offers improved uncertainty assessment of the error propagation from the precipitation input into the hydrological models."** *(Ctrl+F: "Compared with the conventional error propagation")* | **p.13, Summary and Conclusion** | **3, 5**    | **[HALLAZGO/NÚMERO]**      | Muy útil para defender esquemas modernos de propagación de incertidumbre frente a errores constantes.          |
| **11** | **"The proposed uncertainty analysis framework in this study not only provides a general framework of satellite precipitation estimation error quantification procedure but also can assess its influence on the uncertainty of hydrologic prediction through Monte Carlo simulation of the error propagation."** *(Ctrl+F: "The proposed uncertainty analysis framework")*                                        | **p.14, Summary and Conclusion** | **3, 5, 7** | **[AFIRMACIÓN GENERAL]**   | Resume la contribución metodológica completa del trabajo.                                                      |
| **12** | **"However, the satellite rainfall error model (equation (7)) does not consider rainfall detection and false alarm probabilities. However, it is reported that these type of errors might compromise the accuracy of the error propagation into the hydrological model."** *(Ctrl+F: "does not consider rainfall detection")*                                                                                      | **p.14, Summary and Conclusion** | **3, 7**    | **[LIMITACIÓN/CONTRASTE]** | Muy valiosa para la discusión crítica; reconoce limitaciones del propio modelo de incertidumbre.               |

##kratzert2018rainfall
| N° | Texto literal                                                                                                                                                                                                                                                                                                                  | Pág./Sección (Ctrl+F)                                                                   | Eje      | Tipo                       | Razón                                                                                                          |
| -- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | --------------------------------------------------------------------------------------- | -------- | -------------------------- | -------------------------------------------------------------------------------------------------------------- |
| 1  | **"Using this approach, we were able to achieve better model performance as the SAC-SMA + Snow-17, which underlines the potential of the LSTM for hydrological modelling applications."**                                                                                                                                      | **p. 1, Abstract** · Ctrl+F: *"Using this approach, we were"*                           | (1)      | **[HALLAZGO/NÚMERO]**      | Frase-ancla del trabajo; respalda que un modelo DL puede superar un modelo hidrológico conceptual establecido. |
| 2  | **"The advantage of the LSTM is its ability to learn long-term dependencies between the provided input and output of the network, which are essential for modelling storage effects in e.g. catchments with snow influence."**                                                                                                 | **p. 1, Abstract** · Ctrl+F: *"The advantage of the LSTM"*                              | (1), (6) | **[AFIRMACIÓN GENERAL]**   | Justifica el uso de LSTM para representar memoria hidrológica y procesos de almacenamiento.                    |
| 3  | **"Through a specially designed architecture, the LSTM overcomes the problem of the traditional RNN of learning long-term dependencies representing e.g. storage effects within hydrological catchments, which may play an important role for hydrological processes, for example in snow-driven catchments."**                | **p. 2, Introduction** · Ctrl+F: *"Through a specially designed architecture"*          | (1), (6) | **[AFIRMACIÓN GENERAL]**   | Respalda la importancia de la memoria temporal en cuencas con nieve y almacenamiento.                          |
